"Disease","Adjusted_P_Value","Associated_Genes"
"precancerous lesions",0.00137444075606898,"SFRP2;MMP7;EPB41L3;MRC1;DEFB1;TLR4"
"Heart failure",0.00137444075606898,"POSTN;LUM;MMP2;ADIPOQ;TNC;PTN;DCN;CNN1;COL1A2;FABP4;DPYD;SPP1;S1PR1;TLR4"
"Tumor Immunity",0.00147305815759189,"IL33;FCGR3A;MRC1;KDR;SCGB2A2;CD200"
"Triple Negative Breast Neoplasms",0.00188252092646102,"GREM1;SFRP1;ZEB2;MMP7;FABP4;MMP2;DPYD;KDR;SCGB3A1;KRT5;ETS1;MPEG1"
"Coronary Restenosis",0.00196961761903999,"MMP7;FABP4;ADIPOQ"
"Malignant Neoplasms",0.00203115833527552,"IL33;MMP2;TNC;KRT5;PTN;ETS1;FLI1;DKK3;GREM1;SFRP1;FCGR3A;ZEB2;SFRP2;MRC1;DPYD;KRT14;KDR;SPP1;TLR4"
"Myocardial Ischemia",0.00203491249653621,"TLE4;C1QB;ADH1B;MMP2;ADIPOQ;KDR;SPP1;LPL;TLR4;DCN"
"Brain Neoplasms",0.00223338201375539,"MMP2;EPB41L3;MRC1;CDH11;TNC;KDR;SPP1;KRT5;PTN;ETS1;LYVE1;DCN"
"polyps",0.00223762446437926,"GREM1;POSTN;SFRP2;MMP7;MMP2;MRC1;SPP1;SCGB2A2"
"keratoacanthoma",0.00232226736131855,"MMP7;MMP2;MRC1;MMP19"
"Cervix carcinoma",0.002702331776561,"MMP7;ZBTB16;MMP2;ADIPOQ;HBB;PTN;DKK3;SFRP1;ZEB2;SFRP2;MRC1;DPYD;KRT14;SPP1;SCGB2A2;TLR4"
"Pauci-immune Glomerulonephritis associated with Granulomatosis with Polyangiitis",0.00289718198532651,"FCGR3A;MMP2;DEFB1;TLR4"
"Congestive heart failure",0.00294937556682339,"POSTN;LUM;MMP2;ADIPOQ;TNC;PTN;DCN;CNN1;COL1A2;FABP4;DPYD;SPP1;S1PR1;TLR4"
"Lip and Oral Cavity Carcinoma",0.00294937556682339,"ZEB2;SFRP2;MMP7;MMP2;MRC1;TNC;SPP1;KRT5;ETS1;DCN"
"Adenoma",0.00294937556682339,"TLE4;IL33;MMP7;MMP2;ADIPOQ;TNC;ETS1;DKK3;GREM1;SFRP1;SFRP2;COL1A2;MRC1;SPP1;TLR4"
"Mesothelioma",0.00294937556682339,"SFRP1;CD163;ZEB2;TYROBP;MMP2;TNC;KDR;SPP1;KRT5"
"Colonic Neoplasms",0.0029951059526189,"POSTN;MMP7;MMP2;LPL;DCN;CNN1;MRC1;RHOJ;DPYD;KDR;SPP1;CD200;MT1E"
"Gastrointestinal Carcinoid Tumor",0.0030506555591902,"GREM1;MMP2;MRC1;TNC;KDR;SPP1;FLI1"
"Hepatitis C, Chronic",0.0030506555591902,"CD163;FCGR3A;MMP2;ADIPOQ;TNC;SPP1;HBB;DEFB1;TLR4"
"Aortic Aneurysm, Thoracic",0.00307404707908663,"MFAP5;COL1A2;MMP2;SPP1;TLR4"
"Intestinal Neoplasms",0.00312739513966168,"GREM1;MMP7;KDR;SPP1;TLR4;DCN"
"Malignant neoplasm of endometrium",0.00316105449978837,"CD163;MMP7;MMP2;ADIPOQ;MRC1;KDR;SPP1;NID1;DCN;DKK3;MT1E"
"Cardiovascular Diseases",0.00319583679303737,"IL33;ADH1B;MMP2;ADIPOQ;TNC;LPL;HBB;CSN3;FLI1;FCGR3A;FABP4;SPP1;TLR4"
"Uterine Corpus Cancer",0.00320353578195835,"CD163;MMP7;MMP2;ADIPOQ;MRC1;KDR;SPP1;NID1;DCN;DKK3;MT1E"
"Atrophic scar",0.00320353578195835,"COL1A2;KRT14;KRT5"
"Cerebral Aneurysm",0.00321397501950497,"MMP2;KDR;ETS1;TLR4"
